,Country,Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
685,Jordan,Unemployment rate,,,,,5.361,5.976,8.037,8.391,8.805,10.282,16.8,18.8,17.6,19.6,15.8,15.4,13.1,14.4,13.5,14.38,13.706,14.691,15.325,14.439,14.7,14.844,14.058,12.7,12.65,12.85,12.475,12.875,12.15,12.6,11.875,13.075,15.275,18.3,18.6,19.075,,
686,Jordan,General government net lending/borrowing,,,,,,-6.942,-2.406,-13.482,-13.104,-6.931,-7.501,-10.216,1.885,-2.174,-2.345,-1.746,-3.304,-3.033,-5.567,-2.781,-4.12,-2.86,-4.618,-2.611,-1.123,-5.591,-3.966,-5.225,-4.896,-9.062,-7.995,-10.027,-14.653,-10.318,-8.663,-8.536,-3.721,-3.644,-4.737,-6.077,-6.698,-5.661
688,Kazakhstan,"Gross domestic product, constant prices",,,,,,,,,,,,,,-9.2,-12.58,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.4,4.8,6.0,4.2,1.2,1.1,4.1,4.1,4.5,-2.53,4.134
689,Kazakhstan,"Gross domestic product, current prices",,,,,,,,,,,,,123.355,114.66,102.376,95.952,98.197,101.589,100.781,104.996,117.863,136.708,152.48,169.756,191.061,216.122,246.488,275.637,290.27,295.993,321.302,352.286,376.278,405.852,430.725,440.431,449.887,477.152,508.817,540.984,530.646,563.356
690,Kazakhstan,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-8.403,-6.494,-7.473,1.767,3.658,-0.372,3.07,10.066,13.611,9.684,8.683,8.701,8.658,9.423,7.679,0.644,-0.18,5.752,5.897,3.336,4.451,2.676,-0.256,-0.301,2.729,2.751,3.173,-3.768,2.811
691,Kazakhstan,"Inflation, average consumer prices",,,,,,,,,,,,,,1662.28,1401.99,176.359,39.18,17.401,7.132,8.323,13.154,8.373,5.853,6.447,6.868,7.521,8.583,10.779,17.147,7.3,7.125,8.354,5.118,5.829,6.717,6.652,14.556,7.429,6.025,5.244,6.902,6.766
692,Kazakhstan,"Inflation, end of period consumer prices",,,,,,,,,,,,,,2165.0,854.585,60.388,28.7,11.2,1.9,17.8,9.8,6.4,6.6,6.8,6.7,7.6,8.4,18.8,9.5,6.2,7.8,7.4,6.0,4.8,7.4,13.6,8.5,7.1,5.3,5.4,8.093,6.493
693,Kazakhstan,Unemployment rate,,,,,,,,,,,,,,,7.536,10.983,12.959,13.008,13.116,13.465,12.753,10.433,9.334,8.777,8.402,8.108,7.789,7.258,6.629,6.556,5.766,5.391,5.286,5.206,5.042,5.11,4.951,4.9,4.854,4.779,7.779,5.779
694,Kazakhstan,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,1.924,3.996,3.287,6.078,7.653,5.134,1.227,-1.328,1.47,5.811,4.431,4.946,2.482,-6.259,-4.503,-4.266,2.58,-0.577,-5.264,-2.681
695,Kazakhstan,Current account balance,,,,,,,,,,,,,-51.66,-8.637,-7.663,-1.281,-3.57,-3.606,-5.534,-1.014,2.003,-6.272,-4.158,-0.884,0.777,-1.814,-2.469,-7.986,4.684,-3.574,0.936,5.295,1.08,0.826,2.761,-3.26,-5.923,-3.058,-0.125,-3.623,-6.789,-5.485
701,Kenya,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Kenya,General government net lending/borrowing,,,-4.089,-2.884,-3.398,-4.062,-3.97,-3.021,-2.622,-3.186,-4.367,-8.737,-11.021,-11.418,-5.516,-0.306,-0.653,-1.207,-0.036,0.638,-0.048,-1.269,-2.628,-1.638,-0.046,-1.405,-2.041,-2.418,-3.379,-4.34,-4.411,-4.117,-5.032,-5.696,-7.39,-8.089,-8.467,-7.856,-7.365,-7.816,-7.715,-6.885
708,Kiribati,"Inflation, end of period consumer prices",,,,,,,,,,5.609,3.951,6.077,4.217,6.109,4.0,4.1,-1.667,2.538,4.726,0.43,1.033,7.643,0.83,1.273,-0.662,-0.633,3.08,0.037,24.237,-1.307,-1.923,-0.828,-3.83,0.832,3.116,0.633,0.748,2.499,-1.134,-1.167,1.512,1.851
709,Kiribati,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Kiribati,General government net lending/borrowing,,,,,,,,,,,-3.926,3.373,1.009,7.853,0.907,-6.302,-24.663,7.062,16.642,-2.024,-0.032,-11.207,3.238,-9.515,-19.523,-10.113,-12.505,-12.978,-16.499,-9.065,-8.262,-19.327,-6.324,12.387,38.764,47.384,23.155,11.638,-1.148,8.795,-18.675,1.036
718,Korea,General government net lending/borrowing,,,,,,,,,,,,,,,,2.235,2.378,2.394,1.13,1.187,4.05,2.508,3.346,1.564,0.09,0.823,1.033,2.075,1.457,0.017,1.467,1.622,1.49,0.619,0.397,0.522,1.646,2.188,2.569,0.862,-1.842,-1.567
720,Kosovo,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,11.063,-0.166,5.717,2.853,3.833,3.408,8.301,4.489,3.597,3.309,4.377,2.81,3.442,1.222,4.103,4.063,4.226,3.816,4.0,-5,7.5
721,Kosovo,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,,,7.161,8.128,8.242,8.876,9.374,10.037,10.693,11.892,12.667,13.223,13.82,14.726,15.43,16.241,16.744,17.613,18.518,19.664,20.912,22.128,21.155,23.185
722,Kosovo,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,11.063,-2.715,3.92,-3.065,2.561,1.959,6.754,3.211,1.948,1.701,4.082,0.795,3.156,2.102,6.062,3.367,3.358,4.145,3.586,-5.378,7.072
723,Kosovo,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,11.662,3.565,0.3,-1.055,-1.394,0.622,4.358,9.35,-2.41,3.481,7.336,2.477,1.767,0.429,-0.537,0.273,1.488,1.054,2.677,1.273,1.551
724,Kosovo,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,0.493,-3.729,0.714,1.113,10.511,0.453,0.09,6.577,3.55,3.673,0.508,-0.441,-0.134,1.295,0.496,2.893,1.178,1.632,1.922
725,Kosovo,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,30.0,35.3,32.9,27.5,30.5,29.6,25.7,,
726,Kosovo,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-3.341,2.922,3.445,1.59,-4.732,-2.341,2.712,6.858,0.036,1.417,-1.119,-1.161,-2.302,-3.26,-2.545,-1.94,-1.474,-1.356,-2.859,-2.845,-4.818,-2.714
727,Kosovo,Current account balance,,,,,,,,,,,,,,,,,,,,,-3.874,-7.425,-7.942,-8.775,-7.139,-8.214,-7.245,-6.181,-11.871,-9.183,-11.724,-12.699,-5.794,-3.361,-6.908,-8.562,-7.931,-5.435,-7.565,-5.499,-7.401,-5.132
733,Kuwait,Unemployment rate,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.842,7.183,1.5,1.8,0.699,0.711,0.791,0.777,1.097,1.305,1.221,1.42,1.349,1.37,1.701,1.671,1.639,2.072,2.078,1.986,1.902,1.722,1.322,1.248,1.28,1.087,,,
734,Kuwait,General government net lending/borrowing,,,,,,,,,,,-31.983,-151.309,-49.578,-15.747,-9.138,-1.857,11.607,17.166,6.879,15.154,31.614,28.671,19.335,17.308,22.212,43.304,31.895,37.411,20.164,27.513,25.962,33.281,32.428,34.114,22.364,5.593,0.302,6.266,9.045,4.766,-11.326,-14.06
736,Kyrgyz Republic,"Gross domestic product, constant prices",,,,,,,,,,,,,,-13.005,-19.807,-5.424,7.085,9.915,2.122,3.656,5.443,5.322,-0.017,7.03,7.027,-0.176,3.103,8.543,7.566,2.886,-0.472,5.956,-0.088,10.915,4.024,3.876,4.336,4.74,3.459,4.468,-4.044,7.985
737,Kyrgyz Republic,"Gross domestic product, current prices",,,,,,,,,,,,,8.106,7.219,5.913,5.709,6.226,6.961,7.189,7.559,8.149,8.771,8.908,9.711,10.674,10.987,11.671,13.008,14.264,14.788,14.89,16.106,16.4,18.51,19.611,20.583,21.698,23.154,24.539,26.082,25.187,27.728
738,Kyrgyz Republic,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-14.455,-20.158,-5.839,5.432,8.381,0.591,2.054,3.961,4.309,-0.945,6.066,5.76,-1.396,2.048,7.335,6.719,1.75,-1.758,4.809,-1.425,8.737,1.981,1.788,2.179,2.681,1.532,2.309,-5.931,5.753
739,Kyrgyz Republic,"Inflation, average consumer prices",,,,,,,,,,,,,,1086.19,180.683,42.174,31.947,23.435,10.457,35.901,19.688,6.92,2.134,2.975,4.111,4.339,5.552,10.23,24.52,6.837,7.968,16.636,2.768,6.614,7.534,6.503,0.389,3.175,1.543,1.136,10.611,7.174
740,Kyrgyz Republic,"Inflation, end of period consumer prices",,,,,,,,,,,,,,929.867,62.124,30.959,34.814,12.979,16.845,39.837,10.48,3.685,2.285,5.565,2.764,4.921,5.098,20.094,20.028,-0.04,19.226,5.708,7.495,3.97,10.475,3.352,-0.503,3.656,0.486,3.056,11.985,7.014
741,Kyrgyz Republic,Unemployment rate,,,,,,,,,,,,,,,4.114,5.742,7.815,5.747,5.874,7.196,7.544,7.839,12.55,9.903,8.53,8.117,8.267,8.153,8.219,8.417,8.644,8.53,8.427,8.332,8.046,7.554,7.211,6.891,6.605,6.605,6.605,6.605
742,Kyrgyz Republic,General government net lending/borrowing,,,,,,,,,,,,,,,,-13.517,-9.095,-9.308,-11.969,-13.528,-10.697,-6.747,-5.9,-5.169,-4.892,-3.789,-2.095,1.277,1.924,0.378,-5.947,-4.705,-5.862,-3.699,-3.068,-2.517,-5.79,-3.733,-0.59,-0.139,-9.627,-6.43
743,Kyrgyz Republic,Current account balance,,,,,,,,,,,,,-5.747,-13.012,-7.617,-15.722,-23.308,-7.833,-22.33,-14.808,-4.316,-1.546,2.825,10.129,6.08,3.798,-2.472,-5.077,-13.768,-4.314,-6.615,-7.734,-15.451,-13.853,-17.0,-15.852,-11.625,-6.197,-12.052,-9.123,-16.572,-11.014
748,Lao P.D.R.,"Inflation, end of period consumer prices",,,,,,,,,14.8,75.871,29.188,10.36,6.003,10.315,5.691,28.75,12.76,8.726,141.884,86.656,10.56,7.523,15.189,12.624,8.663,8.78,4.546,5.738,3.167,3.92,5.774,7.701,4.733,6.649,2.399,0.897,2.487,0.148,1.482,6.287,6.3,3.5
749,Lao P.D.R.,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Lao P.D.R.,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-3.576,-3.683,-2.85,-3.885,-1.81,-2.541,-1.482,-1.123,-1.858,-3.096,-1.469,-1.429,-2.343,-4.031,-3.132,-5.57,-5.06,-5.487,-4.663,-5.147,-6.233,-5.522
752,Latvia,"Gross domestic product, constant prices",,,,,,,,,,,,,,-11.4,2.2,-2.084,2.546,8.939,6.365,2.828,5.595,6.319,7.116,8.436,8.341,10.743,11.888,10.011,-3.346,-14.238,-4.473,6.285,4.134,2.328,1.915,3.261,1.774,3.787,4.285,2.197,-8.608,8.285
753,Latvia,"Gross domestic product, current prices",,,,,,,,,,,,,16.08,14.584,15.223,15.218,15.892,17.611,18.943,19.759,21.331,23.177,25.219,27.854,30.99,35.388,40.794,46.083,45.407,39.239,37.92,41.146,43.669,45.469,47.198,49.244,50.636,53.544,57.199,59.475,54.7,60.387
754,Latvia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-11.133,3.803,2.881,3.835,10.036,7.425,3.751,6.373,7.599,8.613,9.453,9.43,12.062,12.985,10.959,-2.595,-13.089,-2.567,8.637,5.651,3.389,3.054,4.06,2.66,4.79,5.133,2.505,-8.425,8.502
755,Latvia,"Inflation, average consumer prices",,,,,,,,,,,,,,109.2,35.9,25.0,17.6,8.074,4.295,2.114,2.633,2.526,1.963,2.94,6.187,6.89,6.571,10.081,15.253,3.259,-1.224,4.222,2.285,0.011,0.69,0.213,0.099,2.894,2.554,2.747,-0.293,3.023
756,Latvia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,34.755,26.362,23.14,13.118,6.401,2.697,3.005,1.743,3.173,1.451,3.583,7.334,7.127,6.74,14.024,10.398,-1.367,2.401,3.879,1.59,-0.404,0.274,0.404,2.105,2.16,2.549,2.137,0.496,2.446
757,Latvia,Unemployment rate,,,,,,,,,,,,,3.178,6.951,6.951,6.951,20.711,15.167,13.958,14.067,14.342,13.483,12.492,11.642,11.75,10.05,7.042,6.058,7.742,17.567,19.467,16.208,15.048,11.868,10.847,9.875,9.642,8.715,7.415,6.318,8,6.3
758,Latvia,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,-0.642,-3.45,-2.51,-1.991,-2.512,-1.597,-0.997,-1.026,-0.459,0.597,-3.146,-6.983,-6.47,-3.185,0.175,-0.56,-1.68,-1.529,-0.4,-0.827,-0.74,-0.381,-5.169,-3.663
759,Latvia,Current account balance,,,,,,,,,,,,,11.335,15.326,4.454,-0.3,-4.701,-5.3,-9.085,-7.235,-4.717,-7.534,-6.49,-7.8,-12.306,-11.857,-20.897,-20.766,-12.327,7.705,1.798,-3.233,-3.644,-2.745,-2.266,-0.884,1.436,1.019,-0.681,-0.535,-2.161,-1.458
760,Lebanon,"Gross domestic product, constant prices",1.467,0.55,-36.789,22.71,44.479,24.3,-6.773,16.729,-28.209,-42.195,-13.421,38.2,4.495,7.0,8.03,6.493,4.038,10.19,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,2.748,1.55,9.311,9.069,10.232,7.975,0.867,2.541,3.811,2.461,0.212,1.53,0.851,-1.926,-6.513,-12.019,
761,Lebanon,"Gross domestic product, current prices",15.152,16.677,11.193,14.272,21.365,27.396,26.055,31.166,23.163,13.915,12.498,17.856,19.084,20.904,23.064,25.077,26.567,29.779,31.289,31.487,32.545,34.556,36.296,37.598,41.506,43.975,46.008,51.643,57.422,63.78,69.669,71.741,74.975,79.198,82.649,83.686,85.846,88.207,88.615,84.288,74.628,
762,Lebanon,"Gross domestic product per capita, constant prices",2.607,0.341,-37.076,21.965,43.604,23.647,-7.084,16.419,-28.656,-43.081,-15.787,32.587,-0.751,1.396,3.039,2.719,1.667,8.751,2.913,-2.236,-1.4,0.041,-1.327,-3.078,3.242,-0.081,0.248,9.137,9.129,9.126,4.922,-3.96,-3.674,-2.78,-3.234,-3.955,-1.217,-0.703,-2.499,-6.462,-11.629,
763,Lebanon,"Inflation, average consumer prices",23.9,19.3,18.6,7.2,17.6,69.4,95.4,487.2,155.0,72.2,68.9,50.115,99.847,24.737,8.235,10.282,8.879,7.748,4.549,0.241,-0.356,-0.367,1.759,1.268,1.672,-1.426,4.092,4.058,10.698,0.787,3.983,4.971,6.581,4.821,1.799,-3.696,-0.816,4.476,4.551,2.895,17.002,
764,Lebanon,"Inflation, end of period consumer prices",,,9.595,3.799,25.303,60.105,146.792,741.187,34.8,30.363,77.075,34.195,110.047,4.608,11.809,10.981,6.647,6.728,5.839,-2.696,-1.611,-0.065,3.735,2.211,1.978,-1.601,7.213,5.962,6.276,3.39,4.568,3.119,10.081,1.12,-0.707,-3.402,3.142,5.011,5.553,6.96,17.458,
765,Lebanon,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Lebanon,General government net lending/borrowing,,,,,,,,,,,-30.173,-19.505,-23.982,-7.188,-29.121,-13.645,-25.697,-24.557,-17.276,-16.723,-23.952,-21.032,-16.193,-13.972,-9.835,-8.573,-10.572,-10.928,-9.856,-8.098,-7.466,-5.945,-8.431,-8.818,-6.212,-7.482,-8.874,-8.636,-11.287,-10.7,-15.285,
767,Lebanon,Current account balance,-3.459,-19.42,37.826,-32.603,-27.157,-13.774,-7.557,-6.148,-21.695,-22.506,-39.217,-57.481,-50.545,-6.19,-6.251,-9.767,-10.269,-32.429,-29.927,-19.386,-17.608,-19.695,-16.879,-18.616,-17.997,-11.275,-8.825,-9.68,-17.25,-22.448,-20.692,-16.408,-25.904,-27.972,-28.843,-19.859,-23.792,-26.522,-26.708,-20.619,-12.642,
772,Lesotho,"Inflation, end of period consumer prices",,12.5,19.136,10.363,11.268,19.831,12.676,9.063,15.759,12.129,17.66,16.51,15.298,6.145,10.658,9.275,8.814,7.3,8.947,6.33,6.999,10.906,7.719,5.163,3.693,5.102,5.93,10.65,10.541,3.547,3.612,7.182,4.969,5.504,2.012,7.481,4.443,4.835,5.238,4.3,3,4.2
773,Lesotho,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Lesotho,General government net lending/borrowing,,,-1.943,1.931,4.898,1.778,0.973,-2.726,-1.765,3.986,8.878,9.835,4.738,7.553,5.694,5.133,2.114,0.267,-11.788,-15.302,-0.96,-2.726,-2.387,0.921,6.092,3.52,11.552,9.987,7.974,-3.038,-8.24,-14.695,-1.54,-2.868,3.068,-1.265,-8.555,-4.034,-4.444,-3.828,-1.984,-7.033
776,Liberia,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,2.758,4.431,-28.974,3.971,5.856,8.48,13.103,6.105,5.192,6.351,7.7,8.42,8.836,0.695,0.007,-1.63,2.469,1.242,-2.516,-2.501,4.025
777,Liberia,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,,,2.805,2.946,3.125,2.261,2.414,2.635,2.944,3.42,3.699,3.921,4.218,4.638,5.125,5.676,5.821,5.882,5.846,6.103,6.33,6.278,6.16,6.533
778,Liberia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,-0.904,1.985,-30.191,2.001,3.103,4.797,8.689,1.758,1.092,2.672,4.471,5.531,6.176,-1.701,-2.413,-4.065,-0.088,-1.294,-4.949,-4.911,1.475
779,Liberia,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,5.3,12.149,14.16,10.33,3.555,6.945,9.514,11.391,17.49,7.427,7.291,8.487,6.832,7.578,9.858,7.742,8.844,12.435,23.547,26.969,13.829,13.5
780,Liberia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,8.123,3.204,19.313,11.095,5.037,7.524,7.0,11.911,11.659,9.388,9.708,6.618,11.449,7.709,8.494,7.661,8.039,12.518,13.894,28.525,20.251,15,12.0
781,Liberia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Liberia,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-0.08,-0.924,-1.548,0.35,-0.546,-0.497,4.162,2.24,-2.658,-1.377,1.144,-4.32,-2.811,-5.96,-3.116,-4.4,-3.74,-4.792,-5.099,-5.384,-5.236,-4.109
783,Liberia,Current account balance,,,,,,,,,,,,,,,,,,,,,-12.087,-9.646,-2.798,-13.373,-6.159,2.207,-7.288,-4.247,-29.289,-15.008,-19.76,-15.007,-12.326,-14.668,-20.515,-22.238,-19.249,-22.66,-22.381,-22.315,-18.667,-19.717
789,Libya,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Libya,General government net lending/borrowing,,,,,,,,,,,3.463,8.683,0.11,-5.959,-2.753,3.919,11.682,-2.172,-2.438,5.875,14.077,0.069,7.215,6.363,11.675,31.355,31.807,28.581,32.502,-6.534,12.534,-17.237,28.556,-5.108,-73.81,-130.796,-113.18,-43.464,-0.194,8.783,-7.223,-19.083
792,Lithuania,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,5.239,8.293,7.467,-1.135,3.832,6.523,6.761,10.539,6.55,7.727,7.406,11.087,2.628,-14.814,1.482,6.025,3.834,3.558,3.508,2.033,2.556,4.248,3.644,3.914,-8.086,8.155
793,Lithuania,"Gross domestic product, current prices",,,,,,,,,,,,,,,,24.75,26.524,29.219,31.754,31.847,33.807,36.802,39.912,44.937,49.17,54.619,60.44,68.945,72.133,61.915,63.565,68.803,72.811,76.725,80.886,83.39,86.407,91.774,97.436,103.014,95.286,105.066
794,Lithuania,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,6.043,9.092,8.252,-0.431,4.565,7.404,7.621,11.441,7.753,9.497,9.134,12.415,3.689,-13.863,3.633,8.447,5.236,4.612,4.402,2.998,3.867,5.716,4.638,4.594,-7.578,8.808
795,Lithuania,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,23.092,8.735,5.369,1.443,1.094,1.549,0.336,-1.077,1.154,2.672,3.757,5.751,11.162,4.161,1.191,4.124,3.164,1.164,0.242,-0.677,0.678,3.718,2.531,2.242,-0.254,1.67
796,Lithuania,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,11.746,8.542,3.081,0.385,1.665,2.03,-0.895,-1.305,2.847,2.994,4.553,8.198,8.462,1.174,3.624,3.475,2.916,0.53,-0.189,-0.249,1.96,3.806,1.758,2.73,-0.254,1.67
797,Lithuania,Unemployment rate,,,,,,,,,,,,,,,,,,,,14.6,16.375,17.362,13.737,12.441,10.884,8.324,5.778,4.248,5.827,13.787,17.814,15.39,13.366,11.77,10.699,9.119,7.861,7.073,6.146,6.3,8.9,8.1
798,Lithuania,General government net lending/borrowing,,,,,,,,,,,,,,,,-4.012,-4.229,-1.705,-5.596,-8.282,-3.98,-3.617,-1.794,-1.265,-1.532,-0.504,-0.447,-0.998,-3.266,-9.329,-6.919,-8.955,-3.148,-2.619,-0.665,-0.208,0.259,0.523,0.662,0.248,-7.629,-2.529
799,Lithuania,Current account balance,,,,,,,,,,,,,,,,-9.173,-8.618,-9.698,-11.549,-10.882,-5.848,-4.682,-5.141,-6.799,-7.614,-7.27,-10.897,-15.482,-13.606,1.43,-1.279,-4.557,-1.411,0.835,3.168,-2.813,-0.82,0.593,0.29,4.274,6.013,4.455
806,Luxembourg,General government net lending/borrowing,,,,,,,,,,,,,,,,2.792,1.69,2.991,3.384,3.659,5.888,5.91,2.44,0.186,-1.283,0.078,1.936,4.151,3.32,-0.674,-0.658,0.513,0.345,0.976,1.316,1.397,1.792,1.353,2.664,2.715,-2.768,0.236
807,Luxembourg,Current account balance,,,,,,,,,,,,,,,,11.973,11.519,9.938,8.521,10.728,12.603,8.313,9.333,6.48,11.802,10.985,9.903,9.734,7.574,7.21,6.67,6.047,5.642,5.422,5.16,5.072,4.945,4.902,4.756,4.481,3.959,4.367
808,Macao SAR,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,,8.946,11.655,26.754,8.06,13.315,14.448,3.393,1.321,25.264,21.672,9.237,11.2,-1.201,-21.594,-0.719,9.888,5.442,-4.711,-29.616,32.017
809,Macao SAR,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,,,,15.12,16.734,19.031,24.772,27.602,32.224,37.87,39.917,40.753,51.643,64.148,71.418,80.81,81.317,64.421,64.62,72.347,78.143,75.76,53.662,72.224
810,Macao SAR,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,,7.904,10.113,22.383,3.231,6.881,9.2,1.304,2.648,22.951,20.581,4.601,6.532,-5.658,-22.879,-0.426,8.508,3.183,-6.671,-30.996,29.555
811,Macao SAR,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,-2.638,-1.562,0.981,4.396,5.15,5.571,8.611,1.169,2.809,5.806,6.107,5.501,6.048,4.561,2.369,1.228,3.004,2.752,2,2.3
812,Macao SAR,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,-1.569,-1.353,2.799,5.61,4.586,7.114,6.163,0.757,3.913,6.809,5.829,5.717,5.594,3.733,1.444,2.041,2.944,2.561,2,2.3
813,Macao SAR,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,6.375,6.275,6.05,4.875,4.15,3.775,3.05,3.025,3.55,2.825,2.575,2.0,1.85,1.7,1.825,1.9,1.975,1.8,1.725,1.975,1.825
814,Macao SAR,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,3.286,2.68,4.829,7.84,8.362,9.797,16.466,17.571,13.435,19.487,24.762,24.069,26.978,23.966,13.722,11.335,13.178,14.155,15.325,2.745,14.465
815,Macao SAR,Current account balance,,,,,,,,,,,,,,,,,,,,,,,32.125,31.125,33.264,23.994,14.742,21.635,16.033,28.165,39.43,40.86,39.256,40.234,34.17,25.317,28.096,32.319,34.602,34.802,13.076,30.004
820,Madagascar,"Inflation, end of period consumer prices",,30.457,31.907,19.469,9.759,11.641,10.713,29.196,17.321,10.598,13.843,11.725,16.074,8.256,61.216,37.311,8.282,4.843,6.403,10.105,9.864,5.683,13.521,-0.79,27.327,11.44,10.829,8.214,10.141,7.994,10.195,6.903,5.778,6.258,6.026,7.563,5.952,10.598,6.943,3.975,6,5.9
821,Madagascar,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Malawi,"Inflation, end of period consumer prices",,8.998,12.511,18.608,11.926,11.054,13.853,35.511,26.372,-0.974,23.2,7.388,36.09,18.309,65.965,74.95,6.7,15.16,53.146,28.231,35.445,22.121,11.48,9.824,13.695,16.561,10.138,7.523,9.945,7.58,6.27,9.798,34.577,23.5,24.152,24.855,19.969,7.061,9.892,11.527,15.739,7.832
829,Malawi,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Malawi,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,-5.732,-3.49,-3.503,-1.898,0.561,-2.841,-3.692,-3.568,1.831,-4.124,-1.768,-6.427,-4.843,-6.335,-7.284,-7.326,-5.503,-6.363,-6.257,-5.182
837,Malaysia,Unemployment rate,,,,,,6.893,8.261,8.207,8.079,6.715,5.055,4.345,3.718,3.026,2.947,3.143,2.516,2.445,3.225,3.425,3.1,3.675,3.475,3.6,3.55,3.55,3.325,3.225,3.325,3.675,3.3,3.05,3.025,3.1,2.875,3.15,3.45,3.425,3.325,3.275,4.9,3.4
838,Malaysia,General government net lending/borrowing,,,,,,,,,,,0.149,1.602,1.805,3.44,5.449,3.103,3.27,4.84,-0.627,-3.003,-6.053,-4.361,-3.96,-4.597,-3.353,-2.833,-2.602,-2.571,-3.405,-5.88,-4.319,-3.568,-3.103,-3.478,-2.628,-2.546,-2.603,-2.413,-3.308,-3.175,-4.2,-3.6
844,Maldives,"Inflation, end of period consumer prices",,,,,,,,,,,,,12.447,20.206,29.901,-12.628,8.104,12.764,-9.365,3.324,-2.696,7.587,-5.037,-1.454,10.062,2.948,3.1,8.885,8.932,5.431,6.927,16.654,5.43,3.064,1.179,1.155,1.825,2.234,0.54,1.305,1.405,2.118
845,Maldives,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Maldives,General government net lending/borrowing,,,,,,,,,,,-12.767,-10.22,-12.604,-13.888,-4.816,-5.662,-2.013,-1.461,-2.251,-3.028,-3.893,-3.966,-3.967,-3.445,-2.257,-7.807,-4.524,-3.158,-9.925,-17.886,-13.451,-6.811,-6.549,-4.337,-7.086,-6.789,-8.797,-6.344,-5.232,-5.58,-11.987,-6.427
852,Mali,"Inflation, end of period consumer prices",,,,,,,,,,,,-4.795,-4.214,0.429,32.051,9.142,2.782,0.95,3.096,-1.361,2.521,5.223,4.078,-5.009,1.535,3.361,3.587,2.587,7.439,1.674,1.944,5.294,2.377,0.0,1.161,0.971,-0.787,1.084,0.953,-1.283,1.5,1.7
